#site     state_i   state_j   OP.real    OP.imag
4       1          4        -1.163e-07        -4.27796e-09
4       1          5        2.07707e-06        1.87705e-07
4       2          0        -1.61818e-06        -6.62708e-09
4       2          1        -6.18823e-08        2.11591e-09
4       2          2        0.770834        0
4       2          3        1.14962e-07        1.292e-07
4       2          4        -0.5        6.19689e-09
4       2          5        1.12063e-06        1.23295e-07
4       3          0        1.31401e-07        -1.97401e-09
4       3          1        -9.35194e-07        8.52679e-08
4       3          2        1.14962e-07        -1.292e-07
4       3          3        0.829755        0
4       3          4        1.16443e-06        -2.85698e-07
4       3          5         0.5        3.50462e-09
4       4          0        -2.99328e-06        -1.72097e-08
4       4          1        -1.163e-07        4.27796e-09
4       4          2        -0.5        -6.19689e-09
4       4          3        1.16443e-06        2.85698e-07
4       4          4        0.228632        0
4       4          5        -5.29787e-08        9.99689e-08
4       5          0        -2.93501e-07        4.71632e-09
4       5          1        2.07707e-06        -1.87705e-07
4       5          2        1.12063e-06        -1.23295e-07
4       5          3         0.5        -3.50462e-09
4       5          4        -5.29787e-08        -9.99689e-08
4       5          5        0.170779        0
5       0          0        1        0
5       0          1        -1.33622e-13        7.29809e-13
5       0          2        1.14214e-06        -1.66379e-07
5       0          3        -2.5086e-07        -2.11061e-08
5       0          4        -2.51335e-06        3.63309e-07
5       0          5        -4.62128e-07        -3.95518e-08
5       1          0        -1.33622e-13        -7.29809e-13
5       1          1        1        0
5       1          2        3.01991e-07        4.22943e-08
5       1          3        1.67474e-06        -7.71641e-09
5       1          4        -6.64555e-07        -9.234e-08
5       1          5        3.06968e-06        -7.20884e-10
5       2          0        1.14214e-06        1.66379e-07
5       2          1        3.01991e-07        -4.22943e-08
5       2          2        0.827621        0
5       2          3        2.78246e-07        1.01981e-07
5       2          4         0.5        8.9178e-10
5       2          5        2.18513e-06        3.02582e-07
5       3          0        -2.5086e-07        2.11061e-08
5       3          1        1.67474e-06        7.71641e-09
5       3          2        2.78246e-07        -1.01981e-07
5       3          3        0.767678        0
5       3          4        2.01081e-06        -1.98416e-07
5       3          5        -0.5        -5.2976e-09
5       4          0        -2.51335e-06        -3.63309e-07
5       4          1        -6.64555e-07        9.234e-08
5       4          2         0.5        -8.9178e-10
5       4          3        2.01081e-06        1.98416e-07
5       4          4        0.173451        0
5       4          5        -3.33337e-08        5.87267e-08
5       5          0        -4.62128e-07        3.95518e-08
5       5          1        3.06968e-06        7.20884e-10
5       5          2        2.18513e-06        -3.02582e-07
5       5          3        -0.5        5.2976e-09
5       5          4        -3.33337e-08        -5.87267e-08
5       5          5        0.231249        0
6       0          0        1        0
6       0          1        2.8575e-13        -3.52734e-14
6       0          2        -1.61818e-06        6.62708e-09
6       0          3        1.31401e-07        1.97401e-09
6       0          4        -2.99328e-06        1.72097e-08
6       0          5        -2.93501e-07        -4.71632e-09
6       1          0        2.8575e-13        3.52734e-14
6       1          1        1        0
6       1          2        -6.18823e-08        -2.11591e-09
6       1          3        -9.35194e-07        -8.52679e-08
6       1          4        -1.163e-07        -4.27796e-09
6       1          5        2.07707e-06        1.87705e-07
6       2          0        -1.61818e-06        -6.62708e-09
6       2          1        -6.18823e-08        2.11591e-09
6       2          2        0.770834        0
6       2          3        1.14962e-07        1.292e-07
6       2          4        -0.5        6.19689e-09
6       2          5        1.12063e-06        1.23295e-07
6       3          0        1.31401e-07        -1.97401e-09
6       3          1        -9.35194e-07        8.52679e-08
6       3          2        1.14962e-07        -1.292e-07
6       3          3        0.829755        0
6       3          4        1.16443e-06        -2.85698e-07
6       3          5         0.5        3.50462e-09
6       4          0        -2.99328e-06        -1.72097e-08
6       4          1        -1.163e-07        4.27796e-09
6       4          2        -0.5        -6.19689e-09
6       4          3        1.16443e-06        2.85698e-07
6       4          4        0.228632        0
6       4          5        -5.29787e-08        9.99689e-08
6       5          0        -2.93501e-07        4.71632e-09
6       5          1        2.07707e-06        -1.87705e-07
6       5          2        1.12063e-06        -1.23295e-07
6       5          3         0.5        -3.50462e-09
6       5          4        -5.29787e-08        -9.99689e-08
6       5          5        0.170779        0
7       0          0        1        0
7       0          1        -1.33622e-13        7.29809e-13
7       0          2        1.14214e-06        -1.66379e-07
7       0          3        -2.5086e-07        -2.11061e-08
7       0          4        -2.51335e-06        3.63309e-07
7       0          5        -4.62128e-07        -3.95518e-08
7       1          0        -1.33622e-13        -7.29809e-13
7       1          1        1        0
7       1          2        3.01991e-07        4.22943e-08
7       1          3        1.67474e-06        -7.71641e-09
7       1          4        -6.64555e-07        -9.234e-08
7       1          5        3.06968e-06        -7.20884e-10
7       2          0        1.14214e-06        1.66379e-07
7       2          1        3.01991e-07        -4.22943e-08
7       2          2        0.827621        0
7       2          3        2.78246e-07        1.01981e-07
7       2          4         0.5        8.9178e-10
7       2          5        2.18513e-06        3.02582e-07
7       3          0        -2.5086e-07        2.11061e-08
7       3          1        1.67474e-06        7.71641e-09
7       3          2        2.78246e-07        -1.01981e-07
7       3          3        0.767678        0
7       3          4        2.01081e-06        -1.98416e-07
7       3          5        -0.5        -5.2976e-09
7       4          0        -2.51335e-06        -3.63309e-07
7       4          1        -6.64555e-07        9.234e-08
7       4          2         0.5        -8.9178e-10
7       4          3        2.01081e-06        1.98416e-07
7       4          4        0.173451        0
7       4          5        -3.33337e-08        5.87267e-08
7       5          0        -4.62128e-07        3.95518e-08
7       5          1        3.06968e-06        7.20884e-10
7       5          2        2.18513e-06        -3.02582e-07
7       5          3        -0.5        5.2976e-09
7       5          4        -3.33337e-08        -5.87267e-08
7       5          5        0.231249        0
